iter	Passed	Remaining
0	34	68334
1	65	65803
2	94	62605
3	124	62177
4	148	59363
5	180	59827
6	212	60455
7	240	59898
8	272	60376
9	305	60862
10	334	60502
11	363	60204
12	396	60560
13	422	59932
14	452	59923
15	479	59506
16	510	59549
17	539	59429
18	569	59401
19	597	59138
20	625	58929
21	655	58910
22	681	58573
23	709	58397
24	739	58408
25	770	58533
26	798	58343
27	826	58243
28	855	58149
29	887	58264
30	919	58397
31	955	58760
32	991	59098
33	1023	59183
34	1053	59168
35	1083	59132
36	1118	59343
37	1150	59426
38	1177	59195
39	1214	59494
40	1422	67976
41	1451	67674
42	1481	67418
43	1507	67026
44	1531	66541
45	1557	66163
46	1583	65805
47	1612	65577
48	1638	65241
49	1669	65097
50	1701	65039
51	1734	64978
52	1764	64819
53	1792	64584
54	1817	64286
55	1850	64237
56	1872	63830
57	1899	63613
58	1924	63316
59	1955	63242
60	1988	63197
61	2016	63016
62	2051	63090
63	2087	63148
64	2117	63032
65	2144	62853
66	2178	62855
67	2204	62638
68	2234	62542
69	2261	62347
70	2291	62252
71	2319	62121
72	2353	62122
73	2382	61998
74	2416	62021
75	2448	61992
76	2478	61890
77	2505	61735
78	2558	62213
79	2579	61911
80	2607	61776
81	2637	61696
82	2661	61474
83	2690	61362
84	2720	61280
85	2745	61093
86	2773	60995
87	2798	60807
88	2825	60675
89	2855	60597
90	2881	60455
91	2905	60255
92	2930	60093
93	2959	60008
94	2981	59790
95	3008	59677
96	3034	59531
97	3064	59474
98	3092	59385
99	3116	59212
100	3144	59128
101	3170	59003
102	3195	58856
103	3218	58680
104	3248	58635
105	3274	58516
106	3303	58447
107	3332	58387
108	3358	58257
109	3383	58135
110	3411	58049
111	3440	57989
112	3468	57917
113	3491	57764
114	3518	57665
115	3549	57653
116	3573	57509
117	3597	57374
118	3627	57337
119	3651	57202
120	3679	57142
121	3710	57115
122	3739	57059
123	3767	57006
124	3798	56980
125	3828	56935
126	3854	56844
127	3879	56736
128	3902	56599
129	3929	56526
130	3958	56480
131	3991	56482
132	4019	56419
133	4049	56394
134	4081	56388
135	4114	56390
136	4142	56333
137	4170	56273
138	4201	56254
139	4231	56224
140	4267	56261
141	4300	56265
142	4328	56204
143	4356	56147
144	4382	56068
145	4407	55973
146	4434	55892
147	4460	55817
148	4488	55765
149	4515	55696
150	4538	55572
151	4570	55573
152	4602	55556
153	4633	55541
154	4667	55556
155	4701	55572
156	4739	55638
157	4777	55700
158	4810	55701
159	4844	55711
160	4874	55674
161	4906	55665
162	4936	55628
163	4971	55652
164	5004	55657
165	5029	55564
166	5063	55574
167	5087	55473
168	5108	55351
169	5137	55298
170	5169	55293
171	5199	55259
172	5226	55194
173	5255	55151
174	5281	55083
175	5301	54942
176	5328	54878
177	5353	54795
178	5376	54694
179	5400	54600
180	5424	54513
181	5443	54373
182	5473	54349
183	5503	54320
184	5536	54320
185	5571	54337
186	5604	54334
187	5637	54333
188	5664	54274
189	5695	54252
190	5725	54223
191	5756	54209
192	5789	54202
193	5819	54177
194	5852	54168
195	5877	54093
196	5911	54105
197	5942	54078
198	5970	54037
199	5995	53962
200	6022	53904
201	6054	53886
202	6078	53810
203	6106	53763
204	6136	53727
205	6170	53732
206	6192	53637
207	6218	53575
208	6247	53536
209	6279	53522
210	6304	53456
211	6337	53450
212	6367	53424
213	6399	53409
214	6430	53389
215	6455	53316
216	6486	53297
217	6513	53244
218	6545	53233
219	6579	53235
