iter	RMSE
0	101235.015
1	100414.1714
2	99604.6131
3	98809.32419
4	98022.72008
5	97246.35936
6	96474.20997
7	95713.27707
8	94958.63579
9	94210.40185
10	93469.64031
11	92731.63025
12	92007.95287
13	91297.57343
14	90588.93856
15	89887.45932
16	89188.77074
17	88508.24173
18	87836.56836
19	87175.57814
20	86509.21109
21	85853.69884
22	85214.72569
23	84575.80383
24	83944.57986
25	83319.03803
26	82698.87471
27	82092.92697
28	81477.39095
29	80873.29071
30	80282.14697
31	79700.49253
32	79117.96747
33	78546.18511
34	77979.36184
35	77417.44666
36	76873.12081
37	76320.15739
38	75779.96645
39	75254.39236
40	74728.33653
41	74204.01015
42	73685.37066
43	73185.116
44	72676.04974
45	72175.66672
46	71686.11685
47	71205.1405
48	70731.18149
49	70255.98217
50	69792.67078
51	69330.71885
52	68868.53022
53	68415.63878
54	67947.0493
55	67489.75163
56	67036.1945
57	66583.96859
58	66143.49239
59	65711.00671
60	65279.47745
61	64849.12035
62	64432.30508
63	64013.15019
64	63595.28549
65	63198.39227
66	62791.67032
67	62389.38849
68	61997.24886
69	61613.93333
70	61231.54104
71	60861.74759
72	60486.50162
73	60113.64775
74	59746.02558
75	59387.39335
76	59035.45334
77	58683.17784
78	58340.15683
79	57988.53178
80	57643.28956
81	57305.18583
82	56970.42387
83	56640.96416
84	56314.4204
85	55993.9391
86	55679.26356
87	55362.97417
88	55061.6194
89	54748.93553
90	54446.4502
91	54143.40195
92	53850.16326
93	53553.57761
94	53262.46625
95	52979.36381
96	52700.5303
97	52419.3305
98	52143.08137
99	51862.25643
100	51586.54026
101	51319.26146
102	51056.90773
103	50792.04179
104	50542.65311
105	50289.31587
106	50037.6923
107	49791.15122
108	49543.74049
109	49303.61273
110	49065.48595
111	48831.38572
112	48608.66515
113	48371.50647
114	48145.08218
115	47923.57899
116	47696.88269
117	47469.06744
118	47259.42687
119	47042.41008
120	46827.52185
121	46618.15928
122	46412.41945
123	46211.78826
124	46007.98657
125	45809.43233
126	45609.20853
127	45409.71756
128	45214.49891
129	45014.26594
130	44825.00817
131	44636.72413
132	44451.66348
133	44273.58247
134	44088.09266
135	43913.59026
136	43733.8488
137	43547.96037
138	43378.61543
139	43209.02232
140	43035.4906
141	42875.3907
142	42709.02303
143	42542.40797
144	42380.18145
145	42222.42884
146	42074.34069
147	41916.09382
148	41768.25875
149	41626.2719
150	41475.66403
151	41336.10965
152	41190.61471
153	41048.55482
154	40905.92462
155	40764.60034
156	40628.21196
157	40490.85307
158	40355.19968
159	40213.60392
160	40072.88341
161	39943.66689
162	39815.80443
163	39690.24684
164	39566.00428
165	39444.44301
166	39319.09586
167	39196.88376
168	39080.04442
169	38956.4069
170	38840.17132
171	38722.53456
172	38608.88643
173	38493.35271
174	38382.69485
175	38269.53501
176	38158.17659
177	38051.4361
178	37940.55805
179	37825.91172
180	37721.9923
181	37610.01536
182	37504.97858
183	37400.50177
184	37300.27392
185	37205.39732
186	37106.13918
187	37011.01663
188	36910.86809
189	36817.43819
190	36717.30687
191	36632.12506
192	36537.87664
193	36449.85877
194	36357.98584
195	36264.93179
196	36177.42005
197	36087.05193
198	36004.22809
199	35920.02319
200	35846.8451
201	35756.83504
202	35673.93758
203	35591.78002
204	35513.89189
205	35437.07181
206	35363.2073
207	35284.46056
208	35209.5506
209	35132.99545
210	35059.51983
211	34983.80185
212	34910.5331
213	34838.54207
214	34766.26894
215	34693.20654
216	34615.73372
217	34549.12118
218	34476.80028
219	34412.36136
220	34345.52257
221	34278.31659
222	34212.10183
223	34147.16219
224	34082.09878
225	34022.39066
226	33959.61016
227	33900.04458
228	33836.54013
229	33771.24441
230	33710.77967
231	33651.91398
232	33590.05086
233	33536.19025
234	33488.47058
235	33431.97364
236	33370.73328
237	33315.60565
238	33252.11537
239	33196.0394
240	33140.05328
241	33085.89347
242	33035.5718
243	32984.48038
244	32931.1592
245	32885.58644
246	32833.07728
247	32781.90119
248	32730.90745
249	32681.03111
250	32630.0751
251	32583.24011
252	32531.42489
253	32489.04064
254	32439.03445
255	32393.85887
256	32343.26152
257	32299.83344
258	32248.56218
259	32199.95084
260	32155.27058
261	32110.46248
262	32066.9625
263	32024.27157
264	31979.97439
265	31936.14025
266	31892.70365
267	31850.75605
268	31810.84609
269	31774.3493
270	31732.81437
271	31693.13169
272	31655.11799
273	31617.52186
274	31576.83725
275	31537.5121
276	31502.03053
277	31463.64052
278	31434.29775
279	31399.32984
280	31365.56416
281	31336.07107
282	31300.36137
283	31268.18954
284	31237.53589
285	31203.49772
286	31168.98866
287	31131.36019
288	31098.78185
289	31065.63205
290	31030.13054
291	30998.45308
292	30969.93966
293	30940.53763
294	30903.97356
295	30868.37957
296	30835.33401
297	30805.86755
298	30778.62352
299	30747.73872
300	30718.1383
301	30685.60805
302	30653.76302
303	30620.04666
304	30594.01324
305	30565.53901
306	30530.91333
307	30500.54232
308	30465.31756
309	30426.15623
310	30398.04573
311	30367.6744
312	30331.97699
313	30290.40906
314	30264.22155
315	30231.68424
316	30198.68072
317	30170.35396
318	30138.91914
319	30108.66138
320	30077.85124
321	30046.66223
322	30019.42389
323	29981.09819
324	29950.19376
325	29925.29289
326	29892.73846
327	29865.03824
328	29828.17816
329	29791.81418
330	29763.6962
331	29735.05589
332	29707.72408
333	29685.3677
334	29659.44956
335	29625.80738
336	29604.91135
337	29575.15492
338	29544.70365
339	29511.82584
340	29484.38272
341	29460.79491
342	29434.25902
343	29411.60495
344	29391.15135
345	29365.34106
346	29342.87674
347	29316.43525
348	29290.4876
349	29269.88849
350	29237.56313
351	29213.62415
352	29189.67998
353	29169.82553
354	29138.49586
355	29110.46662
356	29085.7514
357	29060.7644
358	29030.68224
359	29011.0241
360	28989.93246
361	28963.03304
362	28942.25473
363	28916.68873
364	28898.19862
365	28873.33202
366	28850.71215
367	28831.66105
368	28809.41146
369	28792.39975
370	28775.65637
371	28756.38937
372	28740.25358
373	28718.13382
374	28691.05202
375	28670.494
376	28652.11699
377	28630.90073
378	28611.87182
379	28596.28315
380	28577.81335
381	28556.36634
382	28537.18537
383	28518.92663
384	28496.45074
385	28476.95753
386	28457.51323
387	28433.37249
388	28419.09304
389	28397.95406
390	28374.26353
391	28354.98024
392	28338.80398
393	28323.06912
394	28304.0187
395	28284.04235
396	28263.00841
397	28247.81112
398	28233.4015
399	28214.8614
400	28200.77728
401	28175.84438
402	28156.00705
403	28140.74865
404	28119.64039
405	28099.01693
406	28083.46657
407	28067.80565
408	28049.42026
409	28030.51908
410	28014.1462
411	28000.6054
412	27985.10502
413	27968.70463
414	27956.1148
415	27938.50584
416	27918.91937
417	27904.79434
418	27891.23875
419	27875.86809
420	27859.80591
421	27842.61223
422	27825.58813
423	27809.00373
424	27794.87252
425	27779.32075
426	27766.20682
427	27746.70749
428	27731.0691
429	27715.76528
430	27702.32101
431	27688.89265
432	27676.10456
433	27657.42931
434	27641.14939
435	27625.52807
436	27612.28992
437	27595.05641
438	27583.38935
439	27570.04337
440	27557.0605
441	27542.47675
442	27528.21661
443	27516.91185
444	27503.27928
445	27491.59806
446	27479.11328
447	27467.06846
448	27454.23804
449	27443.19389
450	27425.06311
451	27411.81081
452	27399.63921
453	27388.8488
454	27375.26288
455	27364.4824
456	27353.31397
457	27341.3199
458	27329.0663
459	27315.68588
460	27299.04338
461	27287.90706
462	27271.45767
463	27258.14445
464	27247.6369
465	27232.6838
466	27220.3033
467	27203.1646
468	27188.29196
469	27171.79008
470	27157.53614
471	27145.52037
472	27135.47027
473	27122.21735
474	27112.07476
475	27098.44692
476	27085.7956
477	27066.52247
478	27056.6639
479	27046.18618
480	27037.08357
481	27027.6433
482	27014.6559
483	27002.07157
484	26993.68833
485	26984.60901
486	26972.29708
487	26957.59987
488	26940.83818
489	26927.94161
490	26915.41253
491	26906.19301
492	26894.61556
493	26883.22718
494	26870.58005
495	26860.91307
496	26848.94362
497	26836.47136
498	26821.99784
499	26812.11412
500	26802.43935
501	26789.37909
502	26780.47206
503	26771.65182
504	26762.05629
505	26746.86902
506	26734.02345
507	26721.22502
508	26707.86981
509	26695.4235
510	26683.67879
511	26669.0314
512	26655.71029
513	26647.90834
514	26636.43415
515	26624.4
516	26611.5837
517	26597.50187
518	26589.93573
519	26580.4728
520	26571.33079
521	26560.16187
522	26549.81252
523	26536.28352
524	26527.62577
525	26516.34419
526	26502.83903
527	26493.77167
528	26475.69
529	26465.03627
530	26451.05215
531	26439.32614
532	26431.34167
533	26417.43189
534	26405.11611
535	26394.47388
536	26382.84677
537	26371.37284
538	26361.17124
539	26351.82714
540	26340.32973
541	26331.23256
542	26320.48693
543	26309.90364
544	26301.26991
545	26288.24361
546	26280.57134
547	26272.32178
548	26264.51741
549	26251.72166
550	26242.00372
551	26228.16329
552	26220.57536
553	26212.82356
554	26202.79321
555	26197.40306
556	26184.36087
557	26175.97455
558	26165.75789
559	26154.17177
560	26148.15245
561	26134.2842
562	26123.73423
563	26114.43819
564	26106.6298
565	26096.47527
566	26085.05038
567	26076.95133
568	26070.6081
569	26061.01086
570	26049.29736
571	26041.30877
572	26035.213
573	26029.58145
574	26014.72083
575	26000.07565
576	25988.78074
577	25984.92979
578	25976.77946
579	25968.86946
580	25958.96134
581	25952.58929
582	25939.72281
583	25929.7055
584	25919.35608
585	25914.1636
586	25908.7747
587	25901.51194
588	25893.74395
589	25887.13717
590	25876.92968
591	25869.9389
592	25863.28307
593	25856.3642
594	25848.60813
595	25840.62673
596	25831.80433
597	25822.07198
598	25814.69292
599	25806.49595
600	25798.78367
601	25790.78347
602	25784.11503
603	25775.60108
604	25770.4012
605	25759.7531
606	25748.21842
607	25738.77606
608	25732.39737
609	25725.97812
610	25720.73277
611	25711.46881
612	25703.56587
613	25697.35235
614	25690.11657
615	25678.93538
616	25672.10309
617	25664.15298
618	25655.09662
619	25646.57704
620	25636.43615
621	25628.01177
622	25617.40864
623	25610.11963
624	25601.11067
625	25594.72527
626	25583.41042
627	25576.99103
628	25571.25385
629	25563.24429
630	25552.62651
631	25544.19749
632	25536.14165
633	25526.27637
634	25516.51192
635	25509.14215
636	25502.10681
637	25493.95855
638	25485.27582
639	25476.07813
640	25466.68434
641	25457.19492
642	25447.54873
643	25439.86385
644	25430.40023
645	25425.74509
646	25418.19859
647	25410.45924
648	25403.57124
649	25394.73018
650	25385.49575
651	25377.38694
652	25368.44196
653	25358.4731
654	25350.1677
655	25341.91288
656	25333.73674
657	25329.11683
658	25324.08716
659	25317.2094
660	25309.91
661	25300.72565
662	25291.64892
663	25281.24928
664	25273.03148
665	25268.18751
666	25262.14659
667	25255.216
668	25251.04322
669	25241.52121
670	25231.36825
671	25227.44291
672	25219.58693
673	25211.54642
674	25206.10961
675	25200.93963
676	25197.25877
677	25189.1155
678	25180.31268
679	25172.48622
680	25166.41833
681	25156.77208
682	25152.68401
683	25147.70071
684	25141.50985
685	25133.95101
686	25124.42352
687	25121.59325
688	25116.3896
689	25111.45106
690	25106.03986
691	25103.09373
692	25097.95097
693	25091.43751
694	25082.11829
695	25076.83408
696	25071.14144
697	25063.27294
698	25056.92011
699	25049.70759
700	25040.74609
701	25032.6877
702	25022.24602
703	25014.10574
704	25010.03147
705	25002.9295
706	24996.88131
707	24993.06996
708	24986.18907
709	24978.41103
710	24969.31502
711	24959.94599
712	24956.93562
713	24952.46303
714	24945.83644
715	24939.97664
716	24934.70952
717	24927.22193
718	24917.7021
719	24914.76433
720	24910.64686
721	24904.89105
722	24899.40157
723	24892.18245
724	24886.65824
725	24882.13818
726	24876.58077
727	24871.11546
728	24866.22188
729	24859.37111
730	24852.03338
731	24846.95817
732	24839.78582
733	24833.29056
734	24829.65262
735	24821.33503
736	24816.46646
737	24810.28425
738	24803.58651
739	24796.21361
740	24788.93996
741	24784.22199
742	24777.92951
743	24773.45628
744	24767.45046
745	24761.70197
746	24755.7653
747	24750.19541
748	24746.20142
749	24740.54633
750	24734.92113
751	24729.81089
752	24723.16276
753	24717.38853
754	24709.50176
755	24703.27132
756	24699.22561
757	24694.70802
758	24687.49905
759	24681.93849
760	24676.66415
761	24672.38725
762	24664.74985
763	24654.94949
764	24647.452
765	24642.40393
766	24639.38377
767	24636.10918
768	24628.5818
769	24623.58132
770	24619.41401
771	24613.51781
772	24607.40018
773	24600.37168
774	24594.25721
775	24590.57311
776	24587.23028
777	24577.94261
778	24572.57307
779	24567.23148
780	24562.73786
781	24555.88506
782	24550.99649
783	24545.06707
784	24537.77149
785	24530.5036
786	24526.10598
787	24520.61738
788	24517.63744
789	24510.14533
790	24504.62944
791	24502.05811
792	24496.09558
793	24492.51541
794	24488.51133
795	24483.14637
796	24475.09877
797	24470.31492
798	24464.50083
799	24459.77304
800	24454.55777
801	24447.60191
802	24442.93477
803	24435.38883
804	24431.63184
805	24426.65826
806	24420.6139
807	24411.50453
808	24406.33434
809	24402.42072
810	24396.50306
811	24391.97167
812	24385.85761
813	24375.92023
814	24372.19861
815	24364.94291
816	24357.69737
817	24351.7373
818	24347.09575
819	24341.97621
820	24338.46346
821	24334.59976
822	24330.11595
823	24325.21509
824	24318.26568
825	24313.49642
826	24308.72415
827	24303.82134
828	24300.2048
829	24297.82883
830	24291.13001
831	24286.82753
832	24281.64901
833	24273.81495
834	24269.91771
835	24263.19309
836	24259.08879
837	24253.05298
838	24247.05236
839	24240.55119
840	24232.05396
841	24223.40636
842	24214.59007
843	24209.12292
844	24206.13254
845	24200.84776
846	24195.60415
847	24191.96556
848	24188.79004
849	24184.68808
850	24179.40036
851	24175.62496
852	24172.9688
853	24170.66805
854	24166.41255
855	24160.9629
856	24155.10726
857	24150.44952
858	24145.82805
859	24140.34371
860	24138.42356
861	24134.65716
862	24127.55838
863	24121.88028
864	24116.74538
865	24113.52157
866	24105.06591
867	24097.65685
868	24094.29688
869	24090.197
870	24084.5758
871	24077.37534
872	24072.89468
873	24068.46136
874	24063.02227
875	24059.83871
876	24049.99931
877	24043.86301
878	24039.70672
879	24033.49824
880	24027.21907
881	24020.75719
882	24016.31319
883	24011.02374
884	24003.61946
885	23998.56207
886	23994.68782
887	23987.81293
888	23981.33105
889	23975.90495
890	23970.76888
891	23966.99366
892	23961.53147
893	23958.09315
894	23953.63249
895	23951.00908
896	23945.96241
897	23942.62596
898	23937.97269
899	23931.99177
900	23927.84268
901	23922.45003
902	23920.15174
903	23916.70217
904	23914.21053
905	23909.79604
906	23906.82056
907	23900.83015
908	23895.76281
909	23889.93121
910	23886.76733
911	23881.05051
912	23876.20116
913	23870.32808
914	23867.93313
915	23863.54058
916	23857.4149
917	23853.64683
918	23849.91409
919	23845.66769
920	23839.89089
921	23833.94016
922	23831.04257
923	23829.02686
924	23819.81452
925	23815.04826
926	23810.47165
927	23804.40115
928	23799.27201
929	23793.38691
930	23790.67094
931	23788.87229
932	23782.44864
933	23778.42525
934	23775.70167
935	23771.86065
936	23769.11443
937	23766.13642
938	23761.02574
939	23757.28876
940	23754.50241
941	23750.13365
942	23747.41482
943	23741.5671
944	23736.21025
945	23732.13731
946	23727.82059
947	23724.32733
948	23720.94193
949	23714.8063
950	23709.09345
951	23704.72364
952	23700.13353
953	23695.63869
954	23689.345
955	23685.90678
956	23680.66492
957	23675.47089
958	23669.09332
959	23665.04809
960	23662.4337
961	23657.70338
962	23655.11768
963	23652.34543
964	23646.01418
965	23642.37912
966	23638.17279
967	23633.69201
968	23628.72606
969	23624.8067
970	23619.33526
971	23614.51291
972	23610.88515
973	23606.79397
974	23603.00683
975	23600.0545
976	23595.49092
977	23587.90003
978	23584.32446
979	23579.18346
980	23572.48847
981	23566.43329
982	23560.40296
983	23556.44663
984	23550.97679
985	23545.3543
986	23538.11279
987	23532.86831
988	23529.48794
989	23523.83005
990	23518.75487
991	23516.29121
992	23512.33306
993	23505.27619
994	23501.44356
995	23498.002
996	23490.78422
997	23486.95813
998	23482.80149
999	23478.76692
1000	23475.32798
1001	23469.65697
1002	23466.17623
1003	23461.53403
1004	23455.95243
1005	23451.4346
1006	23448.37284
1007	23445.25227
1008	23442.79698
1009	23435.55191
1010	23432.05028
1011	23428.93313
1012	23424.98337
1013	23421.06444
1014	23415.08086
1015	23411.46786
1016	23406.74611
1017	23403.52288
1018	23399.52586
1019	23395.37213
1020	23390.6027
1021	23386.71253
1022	23384.3255
1023	23380.377
1024	23377.27895
1025	23372.72499
1026	23369.40323
1027	23366.01812
1028	23361.59614
1029	23355.92257
1030	23349.70796
1031	23346.43998
1032	23342.87913
1033	23339.18753
1034	23335.09703
1035	23332.99044
1036	23329.83366
1037	23326.79119
1038	23323.89942
1039	23318.55319
1040	23314.42555
1041	23311.01352
1042	23307.33437
1043	23302.61126
1044	23297.08698
1045	23288.43951
1046	23285.61034
1047	23281.69778
1048	23279.00135
1049	23273.74247
1050	23269.52837
1051	23267.46952
1052	23263.70458
1053	23258.82261
1054	23257.1518
1055	23254.46133
1056	23248.13412
1057	23245.56818
1058	23243.19102
1059	23239.1382
1060	23235.30373
1061	23229.28813
1062	23225.56485
1063	23221.73375
1064	23219.67584
1065	23215.45586
1066	23210.57035
1067	23208.38346
1068	23204.37588
1069	23201.76428
1070	23195.99596
1071	23193.17548
1072	23190.66382
1073	23185.29736
1074	23179.76156
1075	23175.28636
1076	23172.31921
1077	23166.53514
1078	23159.67941
1079	23155.90315
1080	23153.00046
1081	23147.9917
1082	23144.73555
1083	23138.95851
1084	23133.80122
1085	23130.87412
1086	23126.34009
1087	23121.70616
1088	23117.37633
1089	23113.04265
1090	23105.91896
1091	23101.596
1092	23098.16826
1093	23094.59499
1094	23090.36248
1095	23086.32579
1096	23082.81949
1097	23081.82313
1098	23079.14764
1099	23075.96389
1100	23072.03477
1101	23069.14669
1102	23065.61254
1103	23060.51596
1104	23056.41296
1105	23053.54003
1106	23049.07221
1107	23046.7709
1108	23044.60554
1109	23042.49772
1110	23038.52469
1111	23034.66816
1112	23029.74782
1113	23027.06064
1114	23021.79951
1115	23017.77922
1116	23013.82123
1117	23010.78317
1118	23007.41843
1119	23003.66075
1120	23002.02969
1121	22996.98556
1122	22992.80431
1123	22988.7113
1124	22983.49646
1125	22979.32874
1126	22973.67862
1127	22971.15761
1128	22967.89678
1129	22963.33426
1130	22958.32915
1131	22953.83137
1132	22951.07116
1133	22948.1508
1134	22944.74692
1135	22941.38327
1136	22939.45063
1137	22935.04598
1138	22930.65455
1139	22925.63658
1140	22922.25734
1141	22918.15786
1142	22914.44499
1143	22912.59205
1144	22908.40844
1145	22904.72403
1146	22902.7304
1147	22900.36841
1148	22895.85813
1149	22890.29799
1150	22888.05036
1151	22885.34979
1152	22880.32144
1153	22875.88829
1154	22871.48732
1155	22868.87993
1156	22865.31353
1157	22861.84815
1158	22859.92293
1159	22857.77939
1160	22854.98092
1161	22852.87303
1162	22848.92519
1163	22845.05114
1164	22841.21523
1165	22839.36487
1166	22835.08198
1167	22829.73466
1168	22825.93155
1169	22822.25062
1170	22817.85486
1171	22814.22993
1172	22812.15197
1173	22809.85688
1174	22805.70817
1175	22800.51724
1176	22796.9966
1177	22794.63251
1178	22791.02282
1179	22787.78067
1180	22782.95785
1181	22778.65473
1182	22777.41212
1183	22772.93049
1184	22769.8144
1185	22767.81417
1186	22763.59452
1187	22759.764
1188	22755.61076
1189	22751.58466
1190	22747.81739
1191	22745.90725
1192	22744.54357
1193	22741.66946
1194	22740.12226
1195	22736.29902
1196	22733.86609
1197	22732.03414
1198	22727.92482
