iter	RMSE
0	81837.47406
1	81259.62959
2	80682.97168
3	80119.44747
4	79561.12272
5	79003.63853
6	78449.97067
7	77909.73106
8	77376.7335
9	76843.03428
10	76318.35597
11	75802.08844
12	75286.51037
13	74776.49158
14	74279.31257
15	73791.69359
16	73303.29245
17	72824.30199
18	72341.16485
19	71863.80299
20	71394.57229
21	70931.0375
22	70467.13455
23	70020.50533
24	69572.74922
25	69125.73102
26	68691.41241
27	68255.3389
28	67826.82071
29	67405.57858
30	66977.3587
31	66569.71533
32	66163.2155
33	65759.4112
34	65356.34713
35	64959.88159
36	64570.76921
37	64183.2586
38	63803.57018
39	63426.81723
40	63044.86217
41	62682.71848
42	62310.3533
43	61948.54674
44	61590.80578
45	61230.6565
46	60873.74507
47	60526.08752
48	60179.1093
49	59842.645
50	59507.11105
51	59166.04001
52	58834.68027
53	58502.91667
54	58190.61285
55	57874.57966
56	57566.61904
57	57262.03117
58	56946.86178
59	56639.66846
60	56337.94961
61	56043.571
62	55746.60625
63	55453.70793
64	55172.11533
65	54898.27333
66	54612.48922
67	54332.23025
68	54058.22887
69	53788.87341
70	53524.76543
71	53259.69631
72	53001.10028
73	52744.72477
74	52491.10779
75	52244.3516
76	51998.75396
77	51758.04529
78	51514.58262
79	51273.4375
80	51042.27315
81	50815.60618
82	50579.80946
83	50343.66123
84	50123.32939
85	49905.51414
86	49681.41873
87	49461.95298
88	49244.12808
89	49028.29605
90	48813.69346
91	48608.89418
92	48400.68879
93	48190.93463
94	47992.69585
95	47797.95191
96	47587.84949
97	47390.61968
98	47199.94657
99	47004.98954
100	46821.70583
101	46630.09934
102	46448.16309
103	46262.51038
104	46081.94399
105	45900.30042
106	45717.48533
107	45535.74788
108	45360.36755
109	45188.28845
110	45020.2696
111	44850.32228
112	44690.44589
113	44524.41561
114	44363.46702
115	44203.42755
116	44046.47634
117	43884.74325
118	43737.53454
119	43584.28388
120	43436.7778
121	43282.80074
122	43140.03693
123	42986.77942
124	42842.41127
125	42699.90708
126	42553.65064
127	42409.57306
128	42263.50489
129	42129.98129
130	41996.836
131	41862.93328
132	41722.41852
133	41587.87191
134	41456.3906
135	41332.47406
136	41206.95457
137	41082.03762
138	40958.77229
139	40838.29322
140	40707.91859
141	40581.243
142	40455.48669
143	40336.87153
144	40223.17225
145	40110.29444
146	40001.2185
147	39890.3967
148	39776.9663
149	39668.91866
150	39549.71483
151	39438.32631
152	39331.78552
153	39230.98846
154	39126.80506
155	39018.17172
156	38921.45824
157	38814.50282
158	38713.56118
159	38616.74342
160	38511.71375
161	38413.56843
162	38313.97877
163	38222.69286
164	38132.06374
165	38034.51159
166	37944.98506
167	37855.31373
168	37762.04514
169	37670.97392
170	37578.26959
171	37489.8338
172	37404.59614
173	37319.05442
174	37232.9743
175	37146.19766
176	37055.81353
177	36972.8105
178	36895.42617
179	36815.99793
180	36738.66969
181	36662.87024
182	36585.55734
183	36506.09575
184	36435.42652
185	36361.33814
186	36285.44622
187	36216.00151
188	36137.32232
189	36065.15892
190	35996.8665
191	35928.78007
192	35859.67856
193	35788.45613
194	35718.01273
195	35662.28455
196	35594.54559
197	35526.7544
198	35460.93215
199	35396.08238
200	35331.66146
201	35268.9784
202	35203.52894
203	35134.6154
204	35073.39885
205	35016.3137
206	34952.23617
207	34890.96686
208	34833.68821
209	34776.10647
210	34716.13306
211	34656.11641
212	34600.28227
213	34541.41628
214	34483.16292
215	34426.40793
216	34371.56939
217	34321.18419
218	34263.62743
219	34212.83508
220	34155.35982
221	34105.06641
222	34051.1142
223	33999.26986
224	33951.1455
225	33895.49765
226	33850.40747
227	33799.29737
228	33755.18748
229	33710.53605
230	33664.65109
231	33616.5054
232	33568.46628
233	33519.37156
234	33472.13811
235	33431.74356
236	33384.16444
237	33331.94189
238	33290.60256
239	33246.61173
240	33207.02906
241	33163.14704
242	33117.00454
243	33074.9247
244	33031.2223
245	32983.2641
246	32939.46406
247	32899.02867
248	32861.72183
249	32827.48428
250	32788.24746
251	32748.06898
252	32708.02921
253	32669.64689
254	32636.77695
255	32602.00996
256	32566.2597
257	32533.44775
258	32498.9535
259	32462.36582
260	32418.12788
261	32382.24364
262	32342.20607
263	32297.96551
264	32262.96498
265	32228.94643
266	32194.70908
267	32156.6945
268	32125.73224
269	32094.0394
270	32061.63418
271	32030.19265
272	31996.92976
273	31958.87208
274	31923.88694
275	31890.33087
276	31860.90375
277	31831.29009
278	31806.80872
279	31777.57621
280	31747.43077
281	31711.57027
282	31681.54695
283	31654.11389
284	31627.71903
285	31599.83913
286	31571.73193
287	31542.63502
288	31507.6426
289	31484.48451
290	31458.08519
291	31430.98182
292	31404.66881
293	31374.69582
294	31352.22294
295	31329.01605
296	31295.97782
297	31268.88764
298	31240.12734
299	31218.61168
300	31188.57606
301	31158.57428
302	31130.63023
303	31099.39827
304	31073.36258
305	31050.64619
306	31028.34109
307	31005.14764
308	30975.76282
309	30950.88047
310	30924.53778
311	30901.62928
312	30872.80207
313	30851.4536
314	30829.38886
315	30805.61183
316	30784.01441
317	30756.80074
