iter	MAE_SumError	MAE_SumWeight	RMSE_SumError	RMSE_SumWeight
0	1819264817	39071	2.585206972e+14	39071
1	1804046275	39071	2.548862203e+14	39071
2	1789537992	39071	2.513030014e+14	39071
3	1775174368	39071	2.478185371e+14	39071
4	1761128116	39071	2.443802903e+14	39071
5	1747082671	39071	2.408772799e+14	39071
6	1733237901	39071	2.374286282e+14	39071
7	1719180583	39071	2.341165785e+14	39071
8	1705107276	39071	2.308712305e+14	39071
9	1692295703	39071	2.276851009e+14	39071
10	1678509681	39071	2.245515487e+14	39071
11	1665662326	39071	2.215208504e+14	39071
12	1652755508	39071	2.184826907e+14	39071
13	1640343145	39071	2.154880395e+14	39071
14	1627135803	39071	2.126114434e+14	39071
15	1614494379	39071	2.097918066e+14	39071
16	1602199639	39071	2.069592719e+14	39071
17	1589458614	39071	2.042193418e+14	39071
18	1577507583	39071	2.014893467e+14	39071
19	1565691304	39071	1.988110936e+14	39071
20	1553889235	39071	1.961550789e+14	39071
21	1542040502	39071	1.936165621e+14	39071
22	1530568353	39071	1.910389742e+14	39071
23	1518954768	39071	1.886476759e+14	39071
24	1507362951	39071	1.862670115e+14	39071
25	1495823281	39071	1.838385917e+14	39071
26	1484948299	39071	1.815735676e+14	39071
27	1473552254	39071	1.792447253e+14	39071
28	1462233867	39071	1.77003826e+14	39071
29	1451526519	39071	1.747397646e+14	39071
30	1440542266	39071	1.725018842e+14	39071
31	1429951889	39071	1.704205786e+14	39071
32	1419682343	39071	1.683157072e+14	39071
33	1409572954	39071	1.661976007e+14	39071
34	1399172211	39071	1.642090722e+14	39071
35	1388969629	39071	1.621823493e+14	39071
36	1379310862	39071	1.60180609e+14	39071
37	1368822168	39071	1.582240256e+14	39071
38	1358656872	39071	1.56329971e+14	39071
39	1349292949	39071	1.544373788e+14	39071
40	1339310802	39071	1.525440307e+14	39071
41	1330254749	39071	1.507342955e+14	39071
42	1320963519	39071	1.489182814e+14	39071
43	1311401915	39071	1.471574394e+14	39071
44	1302187269	39071	1.454465529e+14	39071
45	1292778900	39071	1.437496702e+14	39071
46	1283429895	39071	1.420945492e+14	39071
47	1274507082	39071	1.404513866e+14	39071
48	1266033580	39071	1.38829977e+14	39071
49	1257994889	39071	1.372680054e+14	39071
50	1249275312	39071	1.356955502e+14	39071
51	1240670283	39071	1.340906138e+14	39071
52	1232422093	39071	1.325147454e+14	39071
53	1224116835	39071	1.309823866e+14	39071
54	1215610013	39071	1.295506328e+14	39071
55	1207116471	39071	1.281528978e+14	39071
56	1199316002	39071	1.267738545e+14	39071
57	1191286104	39071	1.254326485e+14	39071
58	1183540991	39071	1.240037976e+14	39071
59	1175458615	39071	1.226474186e+14	39071
60	1167568072	39071	1.213191759e+14	39071
61	1159838509	39071	1.200392012e+14	39071
62	1152902824	39071	1.187437311e+14	39071
63	1145032546	39071	1.174653713e+14	39071
64	1138404601	39071	1.162214619e+14	39071
65	1130907172	39071	1.150498276e+14	39071
66	1123862854	39071	1.138137876e+14	39071
67	1116529677	39071	1.126493666e+14	39071
68	1110134485	39071	1.114746789e+14	39071
69	1103011112	39071	1.103335835e+14	39071
70	1096383518	39071	1.091909023e+14	39071
71	1090148019	39071	1.080718861e+14	39071
72	1083151942	39071	1.069424249e+14	39071
73	1076346616	39071	1.058845964e+14	39071
74	1070020000	39071	1.048349341e+14	39071
75	1063782463	39071	1.038423694e+14	39071
76	1057279598	39071	1.028292536e+14	39071
77	1050748144	39071	1.018333522e+14	39071
78	1044088900	39071	1.008897843e+14	39071
79	1037739136	39071	9.990752804e+13	39071
80	1031525949	39071	9.893218313e+13	39071
81	1025612933	39071	9.800856273e+13	39071
82	1019331631	39071	9.706622755e+13	39071
83	1013713607	39071	9.612615197e+13	39071
84	1007550828	39071	9.522548883e+13	39071
85	1001508771	39071	9.432209351e+13	39071
86	995733996.8	39071	9.347302996e+13	39071
87	989853447.3	39071	9.261496007e+13	39071
88	984779510.4	39071	9.177692911e+13	39071
89	979485240	39071	9.095861375e+13	39071
90	974022382.1	39071	9.011000142e+13	39071
91	968303018.3	39071	8.932378184e+13	39071
92	963009505	39071	8.853025591e+13	39071
93	958200255.7	39071	8.774935743e+13	39071
94	952654224.7	39071	8.694368688e+13	39071
95	947775227.1	39071	8.615967083e+13	39071
96	942612153.1	39071	8.537274982e+13	39071
97	937820598.6	39071	8.465322664e+13	39071
98	932868954.9	39071	8.393559632e+13	39071
99	928144768.5	39071	8.319366135e+13	39071
100	922953210	39071	8.251630654e+13	39071
101	918366973.5	39071	8.181459632e+13	39071
102	914042328.8	39071	8.115717283e+13	39071
103	909410357.9	39071	8.049325955e+13	39071
104	904940628.8	39071	7.984726731e+13	39071
105	900176250.6	39071	7.918210005e+13	39071
106	895434996.7	39071	7.850515007e+13	39071
107	890860123.3	39071	7.784968524e+13	39071
108	886262457.4	39071	7.722584162e+13	39071
109	881481574.9	39071	7.662745959e+13	39071
110	877503425.3	39071	7.604939728e+13	39071
111	872939568	39071	7.544409642e+13	39071
112	868951309.6	39071	7.487439872e+13	39071
113	865039102.8	39071	7.428845057e+13	39071
114	861401919.7	39071	7.373617232e+13	39071
115	857551059.2	39071	7.319284622e+13	39071
116	853271036.7	39071	7.263296586e+13	39071
117	849539216.8	39071	7.208877035e+13	39071
118	846055022.4	39071	7.154922062e+13	39071
119	841745197.7	39071	7.103673787e+13	39071
120	838031184.6	39071	7.048607332e+13	39071
121	834472790.3	39071	6.994997383e+13	39071
122	830640408.5	39071	6.947202895e+13	39071
123	827103840.8	39071	6.895419697e+13	39071
124	822983582	39071	6.847997571e+13	39071
125	819271365.1	39071	6.803104428e+13	39071
126	815862188.9	39071	6.754003977e+13	39071
127	812545484	39071	6.702627839e+13	39071
128	809266408.2	39071	6.653276648e+13	39071
129	805640351.9	39071	6.611071391e+13	39071
130	802569081.2	39071	6.566817467e+13	39071
131	799113499.2	39071	6.521947822e+13	39071
132	795723621.8	39071	6.475642896e+13	39071
133	792196354.5	39071	6.431245506e+13	39071
134	789131126	39071	6.387809081e+13	39071
135	785965535.4	39071	6.34492175e+13	39071
136	782435296.4	39071	6.301847238e+13	39071
137	779643533.3	39071	6.259727245e+13	39071
138	776489456.1	39071	6.218567702e+13	39071
139	773480800.7	39071	6.175476189e+13	39071
140	770536852.9	39071	6.13416246e+13	39071
141	767110025.7	39071	6.095677213e+13	39071
142	764326271.8	39071	6.054399665e+13	39071
143	760882420.7	39071	6.013505505e+13	39071
144	757580419.8	39071	5.975510467e+13	39071
145	754549684.2	39071	5.939431332e+13	39071
146	751644132.8	39071	5.903352677e+13	39071
147	749139705.1	39071	5.869547139e+13	39071
148	746382660.5	39071	5.831094476e+13	39071
149	743082741.5	39071	5.797226168e+13	39071
150	740513012.8	39071	5.761723252e+13	39071
151	737888807.6	39071	5.724281834e+13	39071
152	735463574.1	39071	5.688722192e+13	39071
153	732504384.3	39071	5.659823551e+13	39071
154	729503781.6	39071	5.62306082e+13	39071
155	727115449.1	39071	5.589659488e+13	39071
156	724061529.3	39071	5.561584578e+13	39071
157	721439273.3	39071	5.52893516e+13	39071
158	719196266.2	39071	5.49827507e+13	39071
159	716828414.7	39071	5.465944488e+13	39071
160	714394545.3	39071	5.434949363e+13	39071
161	711573669.2	39071	5.404501246e+13	39071
162	709442464.6	39071	5.3738636e+13	39071
163	706816036.9	39071	5.344862814e+13	39071
