iter	Passed	Remaining
0	95	95273
1	127	63763
2	159	53118
3	187	46723
4	215	42901
5	242	40145
6	266	37804
7	294	36511
8	316	34846
9	343	33998
10	368	33099
11	393	32364
12	420	31901
13	446	31478
14	472	31058
15	497	30585
16	522	30228
17	546	29815
18	578	29879
19	601	29468
20	619	28863
21	646	28744
22	674	28644
23	699	28449
24	721	28131
25	749	28065
26	772	27830
27	798	27706
28	821	27511
29	842	27236
30	869	27172
31	891	26958
32	914	26804
33	940	26725
34	963	26557
35	989	26484
36	1013	26379
37	1036	26244
38	1063	26200
39	1089	26156
40	1112	26029
41	1134	25868
42	1158	25792
43	1185	25747
44	1207	25624
45	1233	25587
46	1258	25511
47	1287	25536
48	1310	25430
49	1335	25366
50	1363	25375
51	1390	25342
52	1409	25186
53	1436	25156
54	1457	25041
55	1485	25043
56	1510	24996
57	1533	24903
58	1557	24840
59	1585	24839
60	1613	24834
61	1636	24758
62	1660	24696
63	1682	24600
64	1705	24538
65	1727	24448
66	1750	24375
67	1774	24314
68	1794	24215
69	1816	24132
70	1841	24100
71	1864	24034
72	1895	24070
73	1926	24104
74	1953	24094
75	1980	24080
76	2002	24005
77	2026	23951
78	2053	23936
79	2078	23903
80	2103	23870
81	2129	23841
82	2152	23784
83	2176	23730
84	2198	23671
85	2221	23615
86	2244	23553
87	2267	23502
88	2289	23440
89	2313	23393
90	2337	23349
91	2361	23310
92	2386	23277
93	2409	23220
94	2439	23235
95	2463	23199
96	2489	23177
97	2513	23138
98	2537	23090
99	2562	23064
100	2586	23023
101	2610	22983
102	2634	22947
103	2657	22899
104	2681	22856
105	2706	22829
106	2730	22788
107	2755	22758
108	2778	22715
109	2804	22692
110	2827	22646
111	2854	22633
112	2881	22618
113	2903	22564
114	2927	22531
115	2952	22499
116	2975	22459
117	2999	22418
118	3024	22391
119	3046	22337
120	3068	22287
121	3091	22252
122	3112	22194
123	3136	22160
124	3158	22108
125	3179	22057
126	3203	22023
127	3227	21986
128	3250	21947
129	3267	21866
130	3292	21842
131	3316	21808
132	3337	21755
133	3360	21719
134	3384	21684
135	3406	21642
136	3430	21612
137	3454	21579
138	3481	21563
139	3504	21525
140	3525	21476
141	3548	21439
142	3572	21408
143	3595	21371
144	3616	21326
145	3641	21299
146	3664	21263
147	3687	21228
148	3706	21171
149	3729	21132
150	3752	21098
151	3768	21023
152	3788	20971
153	3816	20966
154	3837	20921
155	3862	20895
156	3890	20892
157	3916	20869
158	3938	20834
159	3960	20792
160	3981	20750
161	4004	20713
162	4024	20666
163	4047	20633
164	4071	20605
165	4094	20569
166	4115	20529
167	4140	20503
168	4166	20485
169	4188	20448
170	4211	20418
171	4235	20387
172	4252	20330
173	4280	20321
174	4303	20289
175	4325	20250
176	4346	20209
177	4366	20163
178	4390	20135
179	4413	20104
180	4433	20062
181	4455	20025
182	4480	20002
183	4501	19964
184	4524	19932
185	4549	19912
186	4575	19894
187	4600	19871
188	4622	19833
189	4644	19799
190	4667	19771
191	4696	19763
192	4724	19753
193	4749	19731
194	4768	19685
195	4789	19648
196	4820	19648
197	4847	19634
198	4873	19616
199	4900	19603
200	4924	19574
201	4946	19540
202	4972	19522
203	4996	19495
204	5021	19471
205	5042	19434
206	5062	19392
207	5084	19358
208	5111	19343
209	5135	19319
210	5158	19289
211	5183	19265
212	5206	19238
213	5232	19218
214	5254	19186
215	5280	19164
216	5311	19163
217	5334	19134
218	5358	19111
219	5381	19080
220	5404	19049
221	5427	19020
222	5453	19000
223	5478	18979
224	5499	18941
225	5519	18904
226	5545	18883
227	5568	18855
228	5591	18825
229	5617	18806
230	5643	18787
231	5667	18762
232	5693	18742
233	5717	18716
234	5744	18700
235	5768	18674
236	5788	18634
237	5814	18614
238	5833	18572
239	5848	18520
240	5862	18462
241	5884	18430
242	5905	18395
243	5920	18342
244	5939	18304
245	5963	18279
246	5983	18240
247	6007	18217
248	6028	18182
249	6050	18151
250	6068	18109
251	6084	18059
252	6101	18014
253	6119	17973
254	6136	17927
255	6155	17890
256	6170	17839
257	6186	17791
258	6199	17736
259	6213	17684
260	6235	17656
261	6253	17613
262	6270	17572
263	6292	17542
264	6316	17519
265	6339	17493
266	6357	17453
267	6380	17427
268	6396	17382
269	6418	17354
270	6438	17319
271	6458	17287
272	6481	17260
273	6502	17228
274	6521	17192
275	6542	17161
276	6554	17108
277	6571	17067
278	6592	17036
279	6610	16999
280	6632	16971
281	6656	16947
282	6672	16905
283	6692	16873
284	6710	16836
285	6736	16816
286	6755	16782
287	6770	16738
288	6795	16718
289	6815	16687
290	6829	16639
291	6844	16595
292	6857	16546
293	6875	16511
294	6894	16476
295	6911	16438
296	6935	16416
297	6957	16389
298	6982	16369
299	6997	16326
300	7020	16302
301	7047	16287
302	7067	16256
303	7090	16232
304	7110	16202
305	7126	16162
306	7146	16132
307	7174	16118
308	7201	16103
309	7224	16080
310	7253	16068
311	7277	16048
312	7304	16032
313	7330	16014
314	7346	15975
315	7361	15934
316	7389	15920
317	7407	15885
318	7429	15860
319	7454	15841
320	7479	15821
321	7495	15783
322	7517	15756
323	7540	15732
